chamber,committee,committee_code,api_uri,date,time,location,description,bill_ids,url,meeting_type
House,Committee on Rules,HSRU,https://api.propublica.org/congress/v1/115/house/committees/HSRU.json,2018-12-11,15:00:00,CAPITOL H-313,Conference report to accompany H.R. 2Agriculture Improvement Act of 2018,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108799,Hearing
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/115/senate/committees/SSAS.json,2018-12-11,14:30:00,SVC-217,To receive a closed briefing on recent Chinese and Russian naval activities.,n/a,,
House,Committee on Financial Services,HSBA,https://api.propublica.org/congress/v1/115/house/committees/HSBA.json,2018-12-11,14:00:00,RHOB 2128,Assessing the Impact of FASBs Current Expected Credit Loss (CECL) Accounting Standard on Financial Institutions and the Economy ,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108797,Hearing
Senate,Commission on Security and Cooperation in Europe,JCSE,https://api.propublica.org/congress/v1/115/senate/committees/JCSE.json,2018-12-11,10:45:00,SD-106,Hearings to examine religious freedom in Eurasia.,n/a,,
House,Committee on Energy and Commerce,HSIF,https://api.propublica.org/congress/v1/115/house/committees/HSIF.json,2018-12-11,10:15:00,,Implementing the 21st Century Cures Act: An Update from the Office of the National Coordinator,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108790,Hearing
Senate,Committee on Finance,SSFI,https://api.propublica.org/congress/v1/115/senate/committees/SSFI.json,2018-12-11,10:00:00,SD-215,"Hearings to examine the nomination of Courtney Dunbar Jones, of Virginia, to be a Judge of the United States Tax Court.",n/a,,
Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/115/senate/committees/SSJU.json,2018-12-11,10:00:00,SD-226,An oversight hearing to examine Customs and Border Protection.,n/a,,
Senate,"Committee on Banking, Housing, and Urban Affairs",SSBK,https://api.propublica.org/congress/v1/115/senate/committees/SSBK.json,2018-12-11,10:00:00,SD-538,An oversight hearing to examine the Securities and Exchange Commission.,n/a,,
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/115/house/committees/HSGO.json,2018-12-06,14:00:00,RHOB 2154,Examining Back Door Spending by Federal Agencies,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108786,Hearing
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/115/senate/committees/SLIN.json,2018-12-06,14:00:00,SH-219,To receive a closed briefing on certain intelligence matters.,n/a,,
House,Committee on Armed Services,HSAS,https://api.propublica.org/congress/v1/115/house/committees/HSAS.json,2018-12-06,13:30:00,RHOB 2118,Naval Surface Forces: On the Road to Recovery?,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108778,Hearing
House,Committee on the Judiciary,HSJU,https://api.propublica.org/congress/v1/115/house/committees/HSJU.json,2018-12-06,11:30:00,RHOB 2141,Oversight of the Department of Homeland Security,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108784,Hearing
Senate,Committee on Rules and Administration,SSRA,https://api.propublica.org/congress/v1/115/senate/committees/SSRA.json,2018-12-06,11:00:00,SR-301,An oversight hearing to examine the Architect of the Capitol&#39;s human resources policies.,n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/115/senate/committees/SSAS.json,2018-12-06,10:30:00,SVC-217,To receive a closed briefing on the security situation in Afghanistan.,n/a,,
Senate,Committee on Foreign Relations,SSFR,https://api.propublica.org/congress/v1/115/senate/committees/SSFR.json,2018-12-06,10:00:00,S-419,Hearings to examine Zimbabwe after the elections.,n/a,,
